localTime,remoteTime,label,ibi,bpm,signalOK
1623226716949,834949,rest,2366,43,0
1623226718447,836684,rest,1618,43,1
1623226719464,837918,rest,1156,43,0
1623226720982,838989,rest,1004,44,0
1623226721487,839654,rest,606,44,0
1623226721985,840200,rest,522,44,0
1623226722499,840665,rest,440,50,0
1623226722499,840947,rest,266,55,0
1623226722991,841290,rest,310,59,0
1623226723501,841572,rest,252,70,0
1623226724011,842037,rest,442,90,0
1623226724011,842400,rest,338,112,0
1623226724522,842743,rest,338,133,1
1623226725011,843027,rest,252,159,1
1623226725515,843530,rest,470,165,1
1623226725515,843894,rest,348,173,1
1623226726027,844458,rest,522,169,0
1623226727027,845023,rest,520,158,0
1623226727535,845548,rest,500,150,1
1623226728050,846094,rest,492,142,1
1623226729047,847285,rest,1120,122,0
1623226730057,848073,rest,738,113,0
1623226730563,848821,rest,696,106,1
1623226731077,849286,rest,440,102,0
1623226731587,849589,rest,282,106,0
1623226731587,849852,rest,252,107,0
1623226732101,850115,rest,252,113,0
1623226732587,850598,rest,440,115,0
1623226733088,851123,rest,502,115,0
1623226733595,851608,rest,454,116,0
1623226733595,851891,rest,272,138,0
1623226734097,852172,rest,252,156,0
1623226734606,852617,rest,426,168,0
1623226735111,853142,rest,472,166,0
1623226735610,853606,rest,444,159,1
1623226736115,854112,rest,484,150,1
1623226737134,855141,rest,966,127,0
1623226739166,857140,rest,1832,98,0
1623226740661,858695,rest,1448,85,0
1623226741672,859667,rest,918,79,0
1623226742186,860272,rest,550,77,0
1623226742684,860695,rest,390,75,0
1623226743206,861180,rest,458,75,0
1623226743691,861684,rest,460,75,0
1623226744199,862189,rest,454,75,0
1623226744700,862714,rest,492,75,1
1623226745209,863419,rest,650,78,0
1623226745723,864005,rest,562,94,0
1623226746231,864571,rest,534,109,1
1623226747224,865196,rest,590,116,1
1623226748252,866489,rest,1198,103,0
1623226749247,867275,rest,730,98,0
1623226749748,867740,rest,440,98,0
1623226750250,868245,rest,474,98,0
1623226750758,868789,rest,502,97,0
1623226751765,869799,rest,952,90,0
1623226752273,870486,rest,636,90,0
1623226752788,871032,rest,510,91,0
1623226753299,871638,rest,564,91,0
1623226754293,872285,rest,594,90,1
1623226755804,873818,rest,1440,87,0
1623226756311,874745,speech,870,85,0
1623226757318,875312,speech,536,84,0
1623226757824,875837,speech,480,84,0
1623226758833,877050,speech,1112,78,0
1623226759857,877858,speech,762,80,0
1623226760364,878341,speech,458,81,0
1623226760364,878785,speech,416,82,0
1623226761359,879371,speech,546,83,0
1623226762869,880903,speech,1422,74,0
1623226763879,881874,speech,916,79,0
1623226764894,882883,speech,934,79,1
1623226766406,884861,speech,1846,67,0
1623226767939,886213,speech,1270,61,1
1623226769430,887446,speech,1138,61,0
