localTime,remoteTime,label,ibi,bpm,signalOK
1623228379545,2497543,rest,680,67,0
1623228380041,2498088,rest,518,84,1
1623228380551,2498593,rest,454,98,0
1623228380551,2498875,rest,272,110,0
1623228381556,2499561,rest,620,115,0
1623228382067,2500065,rest,464,117,1
1623228383092,2501054,rest,910,107,0
1623228383573,2501659,rest,548,102,0
1623228384083,2502124,rest,432,106,0
1623228384083,2502548,rest,396,113,0
1623228384588,2502810,rest,252,123,0
1623228385086,2503093,rest,252,130,0
1623228385596,2503618,rest,486,129,0
1623228386101,2504163,rest,508,123,0
1623228386613,2504608,rest,414,128,0
1623228387108,2505154,rest,508,127,0
1623228387108,2505496,rest,320,145,0
1623228387612,2505839,rest,308,155,0
1623228388116,2506102,rest,252,162,0
1623228388625,2506749,rest,594,154,0
1623228389131,2507312,rest,520,144,0
1623228389642,2507656,rest,316,142,0
1623228390641,2508666,rest,920,128,0
1623228391152,2509394,rest,678,124,0
1623228391655,2510061,rest,610,119,1
1623228392664,2510808,rest,686,115,1
1623228393173,2511513,rest,648,108,1
1623228394187,2512181,rest,618,102,1
1623228395185,2513655,rest,1366,86,0
1623228396712,2515090,rest,1330,78,0
1623228398218,2516223,rest,1048,72,1
1623228398727,2517151,rest,836,68,0
1623228399732,2517737,rest,550,71,0
1623228400241,2518262,rest,492,73,0
1623228400748,2518787,rest,468,74,0
1623228400748,2519110,rest,298,78,0
1623228401763,2519778,rest,612,78,0
1623228402257,2520324,rest,496,80,0
1623228402257,2520626,rest,298,93,0
1623228403274,2521293,rest,616,105,0
1623228403774,2521779,rest,448,117,0
1623228403774,2522182,rest,372,129,0
1623228404286,2522464,rest,258,137,0
1623228404799,2522788,rest,300,144,0
1623228405310,2523293,rest,454,144,0
1623228405310,2523697,rest,394,141,0
1623228406305,2524505,rest,744,136,0
1623228406806,2525252,rest,684,131,0
1623228408323,2526364,rest,1010,113,0
1623228409332,2527335,rest,896,107,0
1623228410341,2528667,rest,1240,94,0
1623228412375,2530403,rest,1592,79,0
1623228413881,2532283,rest,1750,66,0
1623228415387,2533433,rest,1052,61,0
1623228417407,2535413,rest,1832,53,0
1623228418421,2536806,rest,1288,49,0
1623228419957,2537979,rest,1090,48,0
1623228420440,2538727,rest,688,48,0
1623228421450,2539472,rest,692,49,0
1623228421957,2539998,rest,484,51,0
1623228421957,2540341,rest,330,55,0
1623228422966,2541149,rest,762,60,0
1623228423974,2541976,rest,754,66,0
1623228424478,2542764,rest,740,69,0
1623228425486,2543491,rest,658,80,0
1623228425997,2544300,rest,756,86,1
1623228427549,2545510,rest,1104,86,0
1623228428524,2546741,rest,1132,80,0
1623228429538,2547509,rest,728,80,0
1623228430031,2548357,rest,764,77,0
1623228431550,2549591,rest,1130,70,0
1623228432054,2550335,rest,680,71,0
1623228432552,2550780,rest,410,74,0
1623228433058,2551043,rest,252,78,0
1623228433058,2551326,rest,252,83,0
1623228433577,2551788,rest,438,87,0
1623228434089,2552334,rest,506,95,0
1623228435080,2553103,rest,692,102,0
1623228435588,2553891,rest,738,102,0
1623228436603,2554619,rest,670,104,0
1623228437103,2555388,rest,728,111,1
1623228438115,2556114,rest,664,112,1
1623228438624,2556659,rest,514,110,0
1623228439118,2557183,rest,476,105,0
1623228439626,2558072,rest,848,95,0
1623228440638,2558659,rest,534,94,0
1623228441150,2559407,rest,704,91,1
1623228442178,2560175,rest,694,91,1
1623228442661,2561064,rest,830,90,1
1623228443678,2561892,rest,768,88,1
1623228444677,2562700,rest,742,88,1
1623228445194,2563526,rest,778,87,1
1623228446194,2564193,rest,618,85,0
1623228446692,2564759,rest,508,85,0
1623228447707,2565709,rest,888,84,0
1623228448214,2566558,rest,788,82,0
1623228449246,2567224,rest,602,83,1
1623228450745,2568759,rest,1424,75,0
1623228451743,2569749,rest,894,74,0
1623228452757,2570760,rest,926,73,1
1623228453770,2572012,rest,1166,69,0
1623228454780,2573163,rest,1064,67,1
1623228455791,2573848,rest,638,67,0
1623228456304,2574535,rest,626,66,0
1623228457303,2575301,rest,716,67,0
1623228457807,2576089,rest,722,68,0
1623228458813,2576857,rest,714,67,1
1623228459320,2577705,rest,792,72,1
1623228460337,2578513,rest,760,73,1
1623228460835,2579299,rest,714,75,1
1623228461840,2580087,rest,730,80,1
1623228462346,2580814,rest,664,84,1
1623228463379,2581603,rest,716,83,1
1623228464396,2582371,rest,696,83,1
1623228464876,2583119,rest,696,83,1
1623228465888,2583886,rest,698,83,1
1623228466395,2584552,rest,618,84,1
1623228466892,2585116,rest,530,87,0
1623228467404,2585722,rest,550,90,0
1623228468407,2586389,rest,612,92,1
1623228470439,2588431,rest,1894,78,0
1623228471461,2589783,rest,1270,72,0
1623228472948,2590995,rest,1108,69,1
1623228473967,2592005,rest,946,67,0
1623228474976,2592975,rest,896,65,0
1623228476484,2594692,rest,1588,59,0
1623228478014,2596025,rest,1244,56,1
1623228480028,2598288,rest,2086,49,0
1623228482547,2600591,rest,2154,43,0
1623228484057,2602225,rest,1502,40,0
1623228485592,2603720,rest,1376,42,0
1623228489613,2608001,rest,568,105,0
1623228490627,2608608,rest,564,105,0
1623228492658,2610649,rest,1868,86,0
1623228496687,2615090,rest,810,74,0
1623228497692,2615899,rest,746,74,0
1623228498702,2616746,rest,782,75,0
1623228500247,2618421,rest,1526,68,0
1623228501229,2619614,rest,1116,66,1
1623228502243,2620645,rest,946,65,0
1623228503256,2621414,rest,710,66,0
1623228503758,2622081,rest,608,67,0
1623228504760,2622746,rest,618,69,0
1623228505777,2624138,rest,1260,65,0
1623228506791,2624948,rest,758,66,0
1623228507302,2625655,rest,644,66,0
1623228508324,2626323,rest,622,68,0
1623228508802,2627050,rest,674,75,0
1623228509814,2627818,rest,722,79,0
1623228510316,2628604,rest,716,81,1
1623228511334,2629372,rest,722,81,1
1623228512842,2630886,rest,1386,73,0
1623228513855,2631857,rest,918,71,0
1623228514879,2632868,rest,936,74,1
1623228515389,2633673,rest,734,74,0
1623228516382,2634380,rest,658,74,0
1623228516880,2634925,rest,498,75,0
1623228517385,2635429,rest,466,77,0
1623228517890,2635894,rest,444,80,0
1623228518407,2636440,rest,494,82,0
1623228518899,2636906,rest,442,86,1
1623228518899,2637370,rest,412,100,1
1623228519916,2638118,rest,688,103,0
1623228520920,2638946,rest,774,106,0
